home,score,away,year
France ,41, Mexico,1930
Uruguay ,42, Argentina,1930
Uruguay ,61, Yugoslavia,1930
Argentina ,61, United States,1930
Paraguay ,10, Belgium,1930
United States ,30, Paraguay,1930
Uruguay ,40, Romania,1930
Uruguay ,10, Peru,1930
Romania ,31, Peru,1930
United States ,30, Belgium,1930
Yugoslavia ,40, Bolivia,1930
Yugoslavia ,21, Brazil,1930
Argentina ,31, Chile,1930
Argentina ,63, Mexico,1930
Chile ,10, France,1930
Chile ,30, Mexico,1930
Argentina ,10, France,1930
Brazil ,40, Bolivia,1930
Italy ,11, Spain,1934
Italy ,21, Czechoslovakia,1934
Germany ,32, Austria,1934
Italy ,10, Austria,1934
Italy ,10, Spain,1934
Czechoslovakia ,32, Switzerland,1934
Germany ,21, Sweden,1934
Austria ,21, Hungary,1934
Czechoslovakia ,31, Germany,1934
Austria ,32, France,1934
Sweden ,32, Argentina,1934
Czechoslovakia ,21, Romania,1934
Italy ,71, United States,1934
Switzerland ,32, Netherlands,1934
Hungary ,42, Egypt,1934
Spain ,31, Brazil,1934
Germany ,52, Belgium,1934
Sweden ,80, Cuba,1938
Italy ,31, France,1938
Brazil ,11, Czechoslovakia,1938
Brazil ,42, Sweden,1938
Hungary ,51, Sweden,1938
Italy ,21, Brazil,1938
Italy ,42, Hungary,1938
Brazil ,21, Czechoslovakia,1938
Cuba ,21, Romania,1938
Hungary ,20, Switzerland,1938
Czechoslovakia ,30, Netherlands,1938
Brazil ,65, Poland,1938
Italy ,21, Norway,1938
France ,31, Belgium,1938
Cuba ,33, Romania,1938
Sweden ,, Austria,1938
Hungary ,60, Dutch East Indies,1938
Switzerland ,11, Germany,1938
Switzerland ,42, Germany,1938
Sweden ,22, Paraguay,1950
Italy ,20, Paraguay,1950
Uruguay ,80, Bolivia,1950
Uruguay ,22, Spain,1950
Uruguay ,21, Brazil,1950
Brazil ,61, Spain,1950
Uruguay ,32, Sweden,1950
Sweden ,31, Spain,1950
Sweden ,32, Italy,1950
Brazil ,71, Sweden,1950
Chile ,52, United States,1950
Switzerland ,21, Mexico,1950
United States ,10, England,1950
Spain ,20, Chile,1950
Spain ,31, United States,1950
England ,20, Chile,1950
Brazil ,20, Yugoslavia,1950
Yugoslavia ,41, Mexico,1950
Brazil ,22, Switzerland,1950
Yugoslavia ,30, Switzerland,1950
Brazil ,40, Mexico,1950
Spain ,10, England,1950
Italy ,41, Belgium,1954
Switzerland ,41, Italy,1954
Austria ,75, Switzerland,1954
Uruguay ,42, England,1954
Austria ,31, Uruguay,1954
Hungary ,42, Brazil,1954
West Germany ,61, Austria,1954
Hungary ,42, Uruguay,1954
England ,44, Belgium,1954
West Germany ,32, Hungary,1954
West Germany ,20, Yugoslavia,1954
Switzerland ,21, Italy,1954
England ,20, Switzerland,1954
Uruguay ,70, Scotland,1954
Austria ,50, Czechoslovakia,1954
Brazil ,50, Mexico,1954
Yugoslavia ,10, France,1954
France ,32, Mexico,1954
West Germany ,41, Turkey,1954
Brazil ,11, Yugoslavia,1954
Hungary ,83, West Germany,1954
Turkey ,70, South Korea,1954
West Germany ,72, Turkey,1954
Uruguay ,20, Czechoslovakia,1954
Austria ,10, Scotland,1954
Hungary ,90, South Korea,1954
England ,22, Austria,1958
Wales ,21, Hungary,1958
Brazil ,30, Austria,1958
Soviet Union ,22, England,1958
Brazil ,00, England,1958
Soviet Union ,20, Austria,1958
Soviet Union ,10, England,1958
France ,63, West Germany,1958
France ,40, Northern Ireland,1958
Sweden ,20, Soviet Union,1958
West Germany ,10, Yugoslavia,1958
Brazil ,52, France,1958
Sweden ,31, West Germany,1958
Brazil ,52, Sweden,1958
Hungary ,40, Mexico,1958
Brazil ,10, Wales,1958
Sweden ,00, Wales,1958
Brazil ,20, Soviet Union,1958
Mexico ,11, Wales,1958
Northern Ireland ,10, Czechoslovakia,1958
West Germany ,22, Czechoslovakia,1958
Argentina ,31, Northern Ireland,1958
