Fecha;Comprobante;Proveedor;Descripcion producto;Importe;Moneda;Gerencia;Tipocompra
8/11/2021;OC-00010620;PUSSETTO SALTA SA;AB973UM - SERVICE 150000 KM + ALIN ROT Y BAL - JUJUY-FORD RANGER DC 4x4 XL 2.2L D--2017-8AFAR23K9JJ041153-GARANTIA;$ 36.249,99;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
8/11/2021;OC-00010621;HERFEI SRL;AB973UJ - SERVICE 155.000 KM (motor cambiado a nuevo) - Trenque Lauquen;$ 23.635,67;Pesos;Subgerencia de Servicios Corporativos y Logistica;
8/11/2021;OC-00010623;TERASAT SA;provision de resistencia de Aluminio 500 Ohm 50 W Modulo;$ 14.520,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
9/11/2021;OC-00010627;TECHNOLOGY BUREAU USA CORP - TBUSA;Antenas Ku de 1,2 mts con DE-ICE para licitación de FFAA ;$ 4.908,60;Dólares;Subgerencia de Servicios de Transporte Audiovisual y Satelitales;Compras Menores
9/11/2021;OC-00010626;MUSMANNO MARCELO ALBERTO;Probador de sensor de humo 100Gr cajas de 12 unidades;$ 73.733,14;Pesos;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso A
9/11/2021;OC-00010624;UILON SRL;AB973TQ - por variacion de precio bateria mas capacidad disponible (60ah 590 A vs 70ah 600)- BARILOCHE;$ 2.640,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
9/11/2021;OC-00010625;MEDIA TRADERS S.A.;Modelo de stand modular medidas 2.00 x 2.00 metros con cenefa, mostrador y banquillo. Si lo solicitaran Arsat podrá disponer de un stand de mayor espacio, (4 x2mtrs) y Las cenefas miden 2 mtrs x 25 cm;$ 50.000,00;Pesos;Gerencia de Relaciones Institucionales;
10/11/2021;OC-00010628;COOPERATIVA DE TRABAJO ANGELAYO LIMITADA;Desmalezamiento predio Rosario;$ 146.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
10/11/2021;OC-00010629;INGENCER;Certificacion Hidrogruas, elementos de izaje y Barquillas;$ 65.820,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
10/11/2021;OC-00010631;CICLO S.R.L.;Servicio mensual desde el mes del Abril al mes de Septiembre ;$ 180.120,60;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
10/11/2021;OC-00010632;ARGENTINA LOGISTIC SERVICES S.A.;Alquiler de espacio de guardado (depósito) x 12 meses;$ 624.000,00;Dólares;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso M
10/11/2021;OC-00010630;MARMAQ Revisión Técnica Jurisdicción Nacional;AD404BT  REVISION TECNICA JURISDICCIONAL -BENAVIDEZ;$ 10.800,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
11/11/2021;OC-00010640;ARGENTINA LOGISTIC SERVICES S.A.;Alquiler de grúas de distintas capacidades de carga según pliego- orden de compra abierta, a demanda conforme surja la necesidad;$ 8.000.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso A
11/11/2021;OC-00010641;PROPRINT - Wide Format S.A.;14 cambios de lonas en estructuras de banners roll up;$ 42.688,80;Pesos;Gerencia de Relaciones Institucionales;Compras Menores
11/11/2021;OC-00010642;INGENCER;Capacitacion y certificación de operadores de hidrogrua por 10 personas;$ 43.820,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
11/11/2021;OC-00010635;SERVIREPUESTOS SRL;NQY799 - PROVISION Y REEMPLAZO DE DEPRESOR AMAROK - SAN RAFAEL, MZA-VW AMAROK 2.0L TDI 140CV 4x4 210--2014-8AWDD42H8EA025402-;$ 53.500,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso I
11/11/2021;OC-00010636;T.M S.A;AE174MX - SERVICE 80000 KM + ALIN ROT Y BAL - EL DORADO, MISIONES-TOYOTA HILUX 4X4 C/S DX 2.4 TDI 6 M/T--2020-8AJFB8CBXL1559942-GARANTIA;$ 39.205,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
11/11/2021;OC-00010637;ALBINO PICCO E HIJO SA;AB973TR - SERVICE 140000 KM + ALIN ROT Y BAL - SAN FRANCISCO-FORD RANGER DC 4x4 XL 2.2L D--2017-8AFAR23K4JJ044638-GARANTIA;$ 29.710,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
11/11/2021;OC-00010638;HERCAL DE JUAN CARLOS ENSE Y SANDRA HEIT;Bulón hexagonal M10 (9.80mm) x 50mm ACERO INOX.;$ 15.744,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
11/11/2021;OC-00010639;DESTEFANO NORA EDITH - NEUMATICOS CENTRO;Cubiertas para utilitario liviano tipo Partner 175 65 R14 Pirelli, Fate o calidad superior (modelo de referencia Fate Avantia 410 o Pirelli Chrono) - BENAVIDEZ;$ 260.400,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
11/11/2021;OC-00010643;SARTHOU AUTOMOTORES S.A.;AD888WE - SERVICE 80000 KM + ALIN ROT Y BAL (URGENTE USO DIRECTIVOS) - BENAVIDEZ-TOYOTA INNOVA SR 2.7 6 A/T 8A--2019-MHFCX8EM3K0112396-GARANTIA;$ 31.200,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
12/11/2021;OC-00010644;La Esquina del Neumatico S.A.;AC787OX - Alineacion y balanceo 141846 KM - Benavidez-CHEVROLET S10 2.8TD 4X4 DC LT L17--2018-9BG148FK0JC446836-;$ 6.198,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
12/11/2021;OC-00010645;INDUGAR SRL;Recuplast Agreste Mediano Blanco color Gris Urbano;$ 43.020,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
12/11/2021;OC-00010646;REVESTIMIENTOS DEL PLATA S.A. PINTURERIAS DEL PLATA;CASABLANCA PERFORMANCE FRENTES HIDRO REPELENTE X 20LT;$ 41.584,38;Pesos;Subgerencia de Servicios Corporativos y Logistica;
